smiles,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15
[H]OC1([H])C2([H])N3C([H])(C2([H])[H])C31[H],0.25541767,0.2652153,0.03040518,0.00798831,0.26865198,0.27852837,0.02323839,0.00707923,0.26865198,0.27852837,0.02323839,0.00707923,0.26018522,0.26870372,0.0134,0.0169
[H]C#CC([H])([H])C1([H])C2([H])OC([H])([H])C21[H],0.25139964,0.2708486,0.00504665,0.0004244,0.24959549,0.26057864,0.0003272,0.0049118,0.24959549,0.26057864,0.0003272,0.0049118,0.24257495,0.25237599,0.0002,0.0028
[H]C#CC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])[H],0.2665949,0.27842881,0.00026963,0.00330406,0.24619152,0.25716645,0.0002065,0.00303952,0.24619152,0.25716645,0.0002065,0.00303952,0.23999147,0.24943972,0.0001,0.0019
[H]c1nn([H])c2c1C([H])([H])C([H])([H])O2,0.22402902,0.22716876,0.01671287,0.10928276,0.23412598,0.24226284,0.12918721,0.00062379,0.23412598,0.24226284,0.12918721,0.00062379,0.22586135,0.228963,0.0139,0.1301
[H]c1nn(C([H])([H])C([H])([H])[H])nc1[H],0.23359053,0.2434716,0.15099061,9.844e-05,0.23366343,0.24279906,8.643e-05,0.18708437,0.23366343,0.24279906,8.643e-05,0.18708437,0.23700375,0.23729039,0.0001,0.1977
[H]C([H])([H])N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],0.21222668,0.2498269,0.00098956,0.24908667,0.20984828,0.25611111,0.00128339,0.16048509,0.20984828,0.25611111,0.00128339,0.16048509,0.2108419,0.25166306,0.001,0.0387
[H]C#CC([H])([H])C#CC1([H])N([H])C1([H])[H],0.24451722,0.25919399,0.01209006,0.13319170000000002,0.22256722,0.23449266,0.0027631,0.0840745,0.22256722,0.23449266,0.0027631,0.0840745,0.22445753,0.23667301,0.0046,0.047
[H]OC12C(=O)C([H])(C([H])([H])[H])C1([H])C2([H])[H],0.17172558,0.21371875,0.00036415,0.1070154,0.16649755,0.20879445,0.00029364,0.07287946,0.16649755,0.20879445,0.00029364,0.07287946,0.16826781,0.21454624,0.0003,0.0856
[H]N1C([H])([H])C1([H])C(C#N)(N([H])[H])C([H])([H])[H],0.26475351,0.27542053,0.02680749,0.01944753,0.24765246,0.25842716,0.0055372,0.01629157,0.24765246,0.25842716,0.0055372,0.01629157,0.26099371,0.26873679,0.0236,0.0081
[H]N=C([H])OC([H])([H])C1([H])N([H])C1([H])[H],0.23681171,0.2742803,0.00232948,0.2786933,0.22942991,0.25983618,0.00202666,0.00109973,0.22942991,0.25983618,0.00202666,0.00109973,0.22884172,0.26727049,0.0015,0.0106
[H]C1([H])OC1([H])C([H])([H])OC1([H])C([H])([H])C1([H])[H],0.27368104,0.28871032,0.02591274,0.00888102,0.27861847,0.29130684,0.01893663,0.00293948,0.27861847,0.29130684,0.01893663,0.00293948,0.27695027,0.29179332,0.0184,0.0084
[H]C([H])([H])C#CC([H])([H])OC([H])([H])C#N,0.24931431,0.26500163,0.0043214,0.00715042,0.22099538,0.24376837,0.00263058,0.05630865,0.22099538,0.24376837,0.00263058,0.05630865,0.22322643,0.24393835,0.0012,0.0278
[H]OC1([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])[H],0.26202149,0.30721223,0.00622264,0.02145825,0.27407883,0.30840281,0.00387601,0.01280131,0.27407883,0.30840281,0.00387601,0.01280131,0.26327952,0.30782705,0.0041,0.011
[H]C#CC([H])(OC([H])=NC([H])([H])[H])C([H])([H])[H],0.22482800000000006,0.26056066,0.0006048,0.22025341,0.21516327,0.23980297,0.00077271,0.00096785,0.21516327,0.23980297,0.00077271,0.00096785,0.21618158,0.23454889,0.0004,0.0002
[H]C1=C([H])C2([H])OC1([H])C([H])([H])C2([H])[H],0.22356577,0.25820972,0.00069226,0.10572337,0.22301009,0.25116939,0.00061211,0.10657347,0.22301009,0.25116939,0.00061211,0.10657347,0.23424387,0.24682684,0.0146,0.1069
[H]c1nnoc1C([H])([H])C([H])([H])C([H])([H])[H],0.21944207,0.22148687,0.00722081,0.15599029999999994,0.20578158,0.22421086,0.008493500000000001,0.17740497,0.20578158,0.22421086,0.008493500000000001,0.17740497,0.20899709,0.21875403,0.0076,0.1771
[H]OC([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.26410979,0.32469477,0.00071987,0.00791914,0.27724994,0.29827731,0.00049174,0.00518576,0.27724994,0.29827731,0.00049174,0.00518576,0.2614494,0.3107229,0.0002,0.0082
[H]C(=O)C([H])([H])C([H])(C#N)C([H])=O,0.16263465,0.16646704,0.00031161,0.00021015,0.1574484,0.16191189,0.0004091,0.00027607,0.1574484,0.16191189,0.0004091,0.00027607,0.15722096,0.16089957,0.0002,0.0002
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H],0.31285487,0.31633543,0.00039078,0.00718099,0.31570855,0.3200759,8.9e-07,0.00737807,0.31570855,0.3200759,8.9e-07,0.00737807,0.30967922,0.31365549,0.0002,0.0069
[H]OC([H])(C#N)C1(N([H])[H])C([H])([H])C1([H])[H],0.24738654,0.28011987,0.02617529,0.03901852,0.23456408,0.25394899,0.00934505,0.00531233,0.23456408,0.25394899,0.00934505,0.00531233,0.24339813,0.26999362,0.0192,0.0076
[H]OC([H])([H])C([H])([H])C#N,0.27594641,0.31657635,0.00075499,9.006e-05,0.28662261,0.28729033,0.00075865,0.00019923,0.28662261,0.28729033,0.00075865,0.00019923,0.27196706,0.2816946,0.0002,0.0
[H]C1([H])C2([H])C([H])([H])C1([H])C21C([H])([H])C1([H])[H],0.30021604,0.31126842,0.00896481,0.02253747,0.31786715,0.31850794,8e-07,0.00623619,0.31786715,0.31850794,8e-07,0.00623619,0.30182588,0.3106494,0.0072,0.0055
[H]N1C([H])(C#N)C2(C([H])([H])[H])C([H])([H])C12[H],0.22114707,0.23761422,0.00284705,0.0043389,0.21277932,0.23204056,0.00149602,0.00296375,0.21277932,0.23204056,0.00149602,0.00296375,0.22006231,0.23863542,0.0022,0.0032
[H]c1nc(C([H])([H])[H])c(=O)oc1[H],0.14464118,0.16665604,0.00119145,0.17476919,0.13655482,0.16646855,0.00077656,0.17492321,0.13655482,0.16646855,0.00077656,0.17492321,0.14497241,0.1647509,0.0012,0.1793
[H]c1nc(=O)oc([H])c1N([H])[H],0.14088848,0.15504443,0.07417429,0.00441596,0.13923174,0.14958507,0.05896011,0.0059881,0.13923174,0.14958507,0.05896011,0.0059881,0.14315332,0.15492781,0.066,0.0049
[H]C#CC([H])([H])c1nc([H])c([H])n1[H],0.24477212,0.25279001,0.15200117,0.00176429,0.23525047,0.2400951,0.00063856,0.0876352,0.23525047,0.2400951,0.00063856,0.0876352,0.24032589,0.24050229,0.21600000000000005,0.0004
[H]C1([H])N=C(C#N)OC([H])([H])C1([H])[H],0.20157225,0.2409853,0.00407378,0.13020064,0.18504916,0.22918518,0.00404384,0.13670166,0.18504916,0.22918518,0.00404384,0.13670166,0.19145664,0.23142153,0.0037,0.1664
[H]ON=c1c([H])c([H])n([H])c([H])c1[H],0.14901833,0.18792736,0.01905349,0.4502485,0.14193723,0.18809865,0.00910507,0.34776906,0.14193723,0.18809865,0.00910507,0.34776906,0.15102503,0.18813817,0.0162,0.4037
[H]C(=O)N1C([H])([H])C(=O)C1([H])C([H])([H])[H],0.16509241,0.20151896,0.00015139,0.0098076,0.15953644,0.18788215,0.00018076,0.0083011,0.15953644,0.18788215,0.00018076,0.0083011,0.15990734,0.199027,0.0001,0.0031
[H]C1([H])OC([H])([H])C2([H])OC1([H])OC2([H])[H],0.26878639,0.28927214,0.00983929,0.00982707,0.28110769,0.30221718,0.00987215,0.02033572,0.28110769,0.30221718,0.00987215,0.02033572,0.27682164,0.29830897,0.0082,0.0144
[H]c1c([H])c(C([H])([H])[H])n([H])c1OC([H])([H])[H],0.21273354,0.23404133,0.00188906,0.01497504,0.22201074,0.2270836,0.00133115,0.35400792,0.22201074,0.2270836,0.00133115,0.35400792,0.20895666,0.22317498,0.0018,0.3201
[H]C1=C([H])C([H])([H])C([H])(C#N)C1=O,0.14809278,0.23871443,0.00029621,0.299565,0.14139667,0.22700109,0.00022698,0.22862036,0.14139667,0.22700109,0.00022698,0.22862036,0.14843053,0.22676171,0.0003,0.2698
[H]N=C([H])OC1([H])C([H])([H])C1([H])C([H])=O,0.16318408,0.23365544,0.00027718,0.00188541,0.15682278,0.22117912,0.00034086,0.0017280999999999998,0.15682278,0.22117912,0.00034086,0.0017280999999999998,0.15834549,0.22564453,0.0002,0.0012
[H]OC([H])([H])C1([H])OC1([H])C#N,0.2654555,0.28054615,0.0113024,0.00605822,0.2453071,0.25700155,0.00286326,0.01912902,0.2453071,0.25700155,0.00286326,0.01912902,0.25788104,0.26345959,0.0158,0.0041
[H]N1C2([H])C3([H])OC2([H])C1(C([H])([H])[H])C3([H])[H],0.24150657,0.25838428,0.00698561,0.00521432,0.25946272,0.27817712,0.00768948,0.00540936,0.25946272,0.27817712,0.00768948,0.00540936,0.24889951,0.26966655,0.0073,0.0029
[H]C(=O)C([H])(C#CC([H])([H])[H])C([H])([H])[H],0.16347477,0.25386652,0.00164596,0.00455118,0.15605474,0.20649885,0.00337054,0.00299468,0.15605474,0.20649885,0.00337054,0.00299468,0.15762153,0.22252819,0.0019,0.003
[H]C#CC12C([H])([H])OC1([H])C2([H])[H],0.23808926,0.24652181,0.02740629,0.03549268,0.22115304,0.23670679,0.0074893999999999985,0.02613137,0.22115304,0.23670679,0.0074893999999999985,0.02613137,0.21748618,0.23368896,0.0067,0.0241
[H]C([H])([H])C1([H])C(=O)C([H])([H])C12OC2([H])[H],0.15743585,0.2345357,9.758e-05,0.00152296,0.15327936,0.21707614,0.00013168,0.00078966,0.15327936,0.21707614,0.00013168,0.00078966,0.15438392,0.24034426,0.0001,0.0012
[H]C(=O)C1([H])C2([H])C3([H])C([H])([H])C2([H])C13[H],0.15614581,0.27532887,0.00019486,0.02700843,0.15110024,0.25945342,0.00014011,0.00092114,0.15110024,0.25945342,0.00014011,0.00092114,0.15220468,0.27305116,0.0002,0.0008
[H]OC([H])([H])C1(O[H])C(=O)OC1([H])[H],0.21159869,0.2780955,0.00232051,0.02434842,0.20153002,0.26373356,0.00422375,0.00430996,0.20153002,0.26373356,0.00422375,0.00430996,0.20498406,0.27668935,0.0023,0.0064
[H]OC([H])([H])C1([H])C([H])(O[H])C1(C([H])([H])[H])C([H])([H])[H],0.25683124,0.27254797,0.02701142,0.0220726,0.26207983,0.27738488,0.02462554,0.02433389,0.26207983,0.27738488,0.02462554,0.02433389,0.25746577,0.27018839,0.021,0.0281
[H]C1([H])OC([H])(C([H])([H])[H])C([H])(C([H])([H])[H])C1=O,0.16052205,0.22647298,0.00016582,0.00568269,0.15676768,0.20971305,0.00017480000000000002,0.00935037,0.15676768,0.20971305,0.00017480000000000002,0.00935037,0.15817645,0.23103198,0.0001,0.0088
[H]C(=O)OC([H])([H])C([H])(C([H])=O)C([H])([H])[H],0.16336679999999998,0.21928026,0.00014743,0.00106168,0.15875439,0.2138522,9.93e-05,0.00121703,0.15875439,0.2138522,9.93e-05,0.00121703,0.15826832,0.21140417,0.0002,0.0011
[H]C([H])([H])C1([H])OC1([H])C#N,0.26608717,0.28624348,0.0213534,0.0141246,0.25178674,0.26424186,0.01548787,0.00608305,0.25178674,0.26424186,0.01548787,0.00608305,0.25745475,0.26761961,0.0205,0.0058
[H]C([H])([H])C([H])([H])C1(C([H])([H])[H])OC1([H])[H],0.28626617,0.29289903,2.338e-05,0.0104935,0.29755463,0.30739311,0.0001456,0.00026942,0.29755463,0.30739311,0.0001456,0.00026942,0.29768424,0.30174136,0.004,0.0014
[H]N=C1OC([H])([H])OC1([H])C([H])([H])O[H],0.24822935,0.27429958,0.01132226,0.05171288,0.23895131,0.25433832,0.01222343,0.01542355,0.23895131,0.25433832,0.01222343,0.01542355,0.24095798,0.27381187,0.0085,0.0212
[H]C1([H])OC([H])([H])C23C([H])([H])N(C2([H])[H])C13[H],0.23056096,0.2513701,0.03259402,0.00734963,0.25498432,0.26994375,0.0183035,0.00363432,0.25498432,0.26994375,0.0183035,0.00363432,0.24147247,0.26589974,0.0274,0.0054
[H]Oc1nc([H])c([H])nc1O[H],0.17252214,0.23001146,0.13675575,0.17503746,0.18001404,0.18277879,0.13514872,0.00374908,0.18001404,0.18277879,0.13514872,0.00374908,0.17668341,0.18796545,0.1492,0.0041
[H]OC12C([H])([H])C3([H])C([H])([H])C1([H])C3([H])C2([H])[H],0.25637691,0.29496474,0.00757335,0.00255262,0.27470317,0.30301634,0.00307485,0.00072329,0.27470317,0.30301634,0.00307485,0.00072329,0.25809051,0.3007969,0.005,0.0016
[H]C([H])([H])N(C([H])([H])[H])C([H])([H])C#N,0.23201981,0.26794545,0.03158897,0.04945176,0.22104379,0.24809809,0.00645226,0.01136423,0.22104379,0.24809809,0.00645226,0.01136423,0.23113856,0.26169562,0.0143,0.0479
[H]Oc1nc([H])c(O[H])c([H])c1[H],0.16442586,0.22876403,0.08113017,0.20103497,0.17214949999999998,0.19440454,0.08676310000000001,0.0036674,0.17214949999999998,0.19440454,0.08676310000000001,0.0036674,0.17082556,0.20213966,0.0908,0.0038
[H]OC([H])([H])C([H])([H])C1([H])N(C([H])([H])C([H])([H])[H])C1([H])[H],0.25548200000000004,0.26716242,0.03053644,0.00159328,0.26187047,0.27262355,0.02149248,0.02216485,0.26187047,0.27262355,0.02149248,0.02216485,0.26199697,0.26398878,0.0218,0.0001
[H]C([H])([H])C#CC(=O)C([H])([H])OC([H])([H])[H],0.15535439999999998,0.21662113,3.384e-05,0.00017597,0.14661456,0.18587589,1.566e-05,0.00034869,0.14661456,0.18587589,1.566e-05,0.00034869,0.15185924,0.1879728,0.0,0.0002
[H]N=C([H])N1C([H])=NC([H])([H])C1=N[H],0.21077721,0.21335897,0.26681769,0.18273545,0.20115815,0.20689559,3.053e-05,0.00645432,0.20115815,0.20689559,3.053e-05,0.00645432,0.20560145,0.209846,0.0001,0.2768
[H]C#CC1([H])C(=O)N([H])C([H])=C1[H],0.19824743,0.20218173,0.03011121,0.09133616,0.19111423,0.20079937,0.00857757,0.08563423,0.19111423,0.20079937,0.00857757,0.08563423,0.19574161,0.20083874,0.0283,0.0718
[H]OC1([H])C([H])([H])C([H])(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])[H],0.26165656,0.28944701,0.00614078,0.00410904,0.27132269,0.29156975,0.00287624,0.00255814,0.27132269,0.29156975,0.00287624,0.00255814,0.26377563,0.29168307,0.0046,0.0037
[H]N1C([H])([H])C(=O)C(=O)C1([H])C([H])([H])[H],0.08316974,0.16758099,0.00061636,0.00010596,0.07442118,0.15598062,0.00056462,0.00258297,0.07442118,0.15598062,0.00056462,0.00258297,0.08232216,0.16402694,0.0004,0.0002
[H]OC1(C#N)C([H])([H])OC1([H])[H],0.2499547,0.27011003,0.0008986,0.00716332,0.2419701,0.25727167,0.00515555,0.00283851,0.2419701,0.25727167,0.00515555,0.00283851,0.25456993,0.26052332,0.0011,0.0032
[H]C1([H])C([H])([H])C12OC1(C([H])([H])C1([H])[H])C2([H])[H],0.24780763,0.25380004,0.01008118,0.0,0.24808307,0.27168973,0.00191631,4.6e-07,0.24808307,0.27168973,0.00191631,4.6e-07,0.2547794,0.26450694,0.0045,0.0
[H]OC([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C#N,0.24263878,0.27376918,0.02288998,0.03272532,0.23189616,0.25378928,0.00440587,0.00827075,0.23189616,0.25378928,0.00440587,0.00827075,0.24370683,0.2696592,0.0088,0.0295
[H]OC([H])([H])C1([H])C([H])([H])C2([H])OC2([H])C1([H])[H],0.26581355,0.28589353,0.00176302,0.02116883,0.27939607,0.3001685,0.00053872,0.00568824,0.27939607,0.3001685,0.00053872,0.00568824,0.26337507,0.30125994,0.0009,0.0059
[H]C(=O)C([H])([H])OC1([H])C([H])([H])C1([H])[H],0.16197037,0.24866062,5.089e-05,0.006313399999999999,0.15710911,0.21167938,1.609e-05,0.00420745,0.15710911,0.21167938,1.609e-05,0.00420745,0.15682407,0.23616954,0.0001,0.0047
[H]C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C(=O)C1([H])[H],0.16296298,0.26447232,6.975e-05,0.04385472,0.15821744,0.26750557,8.398e-05,0.00116659,0.15821744,0.26750557,8.398e-05,0.00116659,0.15880118,0.2734848,0.0001,0.0371
[H]C1=NC([H])([H])C2(O1)C([H])([H])C2([H])[H],0.24545205,0.24805406,0.12498814,0.00829285,0.23947676,0.24418874,0.00879558,0.10310685,0.23947676,0.24418874,0.00879558,0.10310685,0.23975627,0.24520252,0.0068,0.1077
[H]C([H])([H])C1([H])N2C3([H])C([H])([H])C1(C([H])([H])[H])C23[H],0.25330312,0.26851928,0.00392392,0.00945048,0.2681458,0.28494501,0.003802900000000001,0.01641807,0.2681458,0.28494501,0.003802900000000001,0.01641807,0.26653551,0.2776191,0.0052,0.0168
[H]OC([H])([H])C1(N2C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],0.2541176,0.26029909,0.00817991,0.01963172,0.25948561,0.26938270000000003,0.00197229,0.01170528,0.25948561,0.26938270000000003,0.00197229,0.01170528,0.26009703,0.26612759,0.002,0.0153
[H]C(=O)C1([H])C2([H])OC1([H])C([H])([H])C2([H])[H],0.15403703,0.21845483,0.00054928,0.00843888,0.14954902,0.20164141,0.00035247,0.00615583,0.14954902,0.20164141,0.00035247,0.00615583,0.15075308,0.23013898,0.0002,0.0091
[H]OC([H])([H])C([H])([H])C([H])(N([H])C([H])=O)C([H])([H])[H],0.21571191,0.2603652,0.00076038,0.06077808,0.21225424,0.27051343,0.00107162,0.07655341,0.21225424,0.27051343,0.00107162,0.07655341,0.21080516,0.26140898,0.0009,0.0129
[H]OC([H])(C([H])([H])[H])C1(C([H])([H])[H])C([H])([H])C1([H])O[H],0.26696272,0.28365695,0.00454554,0.00282145,0.27985294,0.28620705,0.00074565,0.00025446,0.27985294,0.28620705,0.00074565,0.00025446,0.26516108,0.28407964,0.0019,0.0018
[H]c1nc(C#N)c(C([H])([H])[H])n1[H],0.23731808,0.24027539,0.18836021,0.11846608,0.22533192,0.23580402,0.23225684,7.712e-05,0.22533192,0.23580402,0.23225684,7.712e-05,0.2230831,0.2383892,0.2304,0.0001
[H]C(=O)Oc1nc([H])c([H])o1,0.21335853,0.23544075,0.0011907,0.30989867,0.20442374,0.21022246,0.00706714,0.15267845,0.20442374,0.21022246,0.00706714,0.15267845,0.20454675,0.22193653,0.0012,0.2249
[H]OC1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],0.26346008,0.31205088,0.00590153,0.00909825,0.27535842,0.31100009,0.00528077,0.01637325,0.27535842,0.31100009,0.00528077,0.01637325,0.2643526,0.31002466,0.0037,0.0048
[H]C#CC([H])([H])C([H])([H])OC(=N[H])C([H])([H])[H],0.25073682,0.27133748,0.00905824,4.42e-05,0.24186529,0.24971619,0.00897263,4.819e-05,0.24186529,0.24971619,0.00897263,4.819e-05,0.24253085,0.24316661,0.0002,0.0069
[H]OC([H])([H])C1([H])C([H])([H])OC1([H])C([H])([H])C([H])([H])[H],0.26575098,0.26718586,0.01524101,0.00031575,0.27681897,0.27942099,0.00585614,0.00432409,0.27681897,0.27942099,0.00585614,0.00432409,0.26447754,0.27406544,0.0002,0.0075
[H]N([H])C(=O)C([H])([H])C([H])(C#N)N([H])[H],0.21386528,0.26344954,0.00046753,0.027622000000000004,0.21014459,0.25056186,0.00140538,0.0005637000000000001,0.21014459,0.25056186,0.00140538,0.0005637000000000001,0.21088233,0.26433055,0.0005,0.0267
[H]C1([H])C(=O)C([H])([H])C([H])([H])C2([H])N1C2([H])[H],0.16128028,0.21940626,0.00041362,0.01174323,0.15700644,0.19218841,0.0005394999999999999,0.01010429,0.15700644,0.19218841,0.0005394999999999999,0.01010429,0.15881221,0.21625508,0.0003,0.0101
[H]c1c([H])n([H])c(=O)c(=O)n1[H],0.17018239999999998,0.17184869,0.00011728,0.20617546,0.16424167,0.17438356,0.00060379,0.15444415,0.16424167,0.17438356,0.00060379,0.15444415,0.16735275,0.1740742,0.0001,0.1712
[H]C([H])([H])N1C([H])([H])C1([H])C1(C([H])([H])[H])OC1([H])[H],0.26037024,0.27059962,0.00937834,0.01577987,0.26517115,0.27809573,0.008694499999999999,0.03642696,0.26517115,0.27809573,0.008694499999999999,0.03642696,0.26465394,0.27601316,0.0056,0.0202
[H]C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C#N,0.16503952,0.28247425,1.602e-05,0.02437993,0.16021328,0.26655039,4.387e-05,0.00143926,0.16021328,0.26655039,4.387e-05,0.00143926,0.16001391,0.28145206,0.0,0.0002
[H]C([H])([H])C#CC([H])([H])C#CC#N,0.22081823,0.23042084,5.101e-05,0.00190897,0.18821813,0.19756266,0.00012954,0.00379678,0.18821813,0.19756266,0.00012954,0.00379678,0.1881933,0.19667504,0.0,0.0013
[H]C#CC([H])(C#C[H])C(=O)N([H])[H],0.21500249,0.2638558,0.00593006,0.00734077,0.20924612,0.23637477,0.0092914,0.00442753,0.20924612,0.23637477,0.0092914,0.00442753,0.21036784,0.23740064,0.0065,0.0013
[H]OC1([H])C([H])([H])C([H])([H])C([H])(O[H])C([H])([H])C1([H])[H],0.26755823,0.27000036,0.00292685,0.01846473,0.27395178,0.27946463,0.00479271,0.00438304,0.27395178,0.27946463,0.00479271,0.00438304,0.26706837,0.27105567,0.0023,0.0116
[H]C#CC([H])([H])N([H])C(=O)C([H])([H])[H],0.21843133,0.26031748,0.00066803,0.02936431,0.21407428,0.24190119,0.00153734,0.01047429,0.21407428,0.24190119,0.00153734,0.01047429,0.21528490000000006,0.23656276,0.0007,0.0024
[H]OC1([H])C2([H])C([H])([H])C1([H])C2([H])C#N,0.27159355,0.30074178,0.00381919,0.00661729,0.27242286,0.28246748,0.0009931,0.00103089,0.27242286,0.28246748,0.0009931,0.00103089,0.2708756,0.27340396,0.0026,0.0003
[H]C#CC12OC([H])(C1=O)C2([H])[H],0.1879996,0.21074277,0.00069552,0.01441717,0.17934243,0.20561587,0.00052433,0.0014279000000000002,0.17934243,0.20561587,0.00052433,0.0014279000000000002,0.1796013,0.21013999,0.0003,0.0015
[H]C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H],0.21751602,0.26641431,0.00084451,0.22223235,0.21376537,0.27492962,0.00119387,0.20250948,0.21376537,0.27492962,0.00119387,0.20250948,0.2123229,0.26996422,0.001,0.191
[H]C(=O)C12C([H])([H])C3([H])C1([H])C([H])([H])C32[H],0.15501117,0.27354656,0.00011893,0.18044362,0.14941129,0.25095754,6.375e-05,0.0005847000000000001,0.14941129,0.25095754,6.375e-05,0.0005847000000000001,0.15085966,0.26273195,0.0001,0.0007
[H]c1oc([H])c(C(=O)C([H])([H])[H])c1[H],0.15543788,0.20694819,0.00018116,0.06711904,0.1479634,0.19140509,0.0001302,0.04924998,0.1479634,0.19140509,0.0001302,0.04924998,0.15372243,0.19961499,0.0002,0.0802
[H]C1([H])N2C3([H])C1([H])OC1([H])C2([H])C13[H],0.21260052,0.239537,0.00327746,0.00553434,0.23083438,0.25236025,0.00371615,0.00092556,0.23083438,0.25236025,0.00371615,0.00092556,0.22517047,0.25192398,0.0043,0.0039
[H]C([H])([H])OC1([H])C([H])([H])N2C([H])(C([H])([H])[H])C21[H],0.24730642,0.26380736,0.01457366,0.02555263,0.25391644,0.27724817,0.01363713,0.0264812,0.25391644,0.27724817,0.01363713,0.0264812,0.25418773,0.27006712,0.0146,0.0248
